Path
LuanHaradinaj_BQK_UkshinHoti ShtjefenGjeqovi_BillClinton_Tuneli
PTK_Katedralja_Menza Katedralja_Santea_RobertDoll
Santea_BillClinton_Tuneli BillClinton_Santea_Katedralja Santea_Katedralja_PTK Katedralja_Menza_MAShTI Menza_MAShTI_Parlamenti MAShTI_Parlamenti_IbrahimLutfiu
Parlamenti_MAShTI_Menza MAShTI_Menza_Katedralja
Santea_BillClinton_Lakrishte ElezBerisha_TreguIMadh_KlanKosova
Katedralja_Santea_BillClinton Santea_BillClinton_Lakrishte ElezBerisha_TreguIMadh_KlanKosova
Lakrishte_BillClinton_Santea BillClinton_Santea_Katedralja Parlamenti_MAShTI_KarlGega
Menza_Qerimi_EnverMaloku
Menza_Qerimi_EnverMaloku
Vushtrria_Tjegullorja_Plava
LuanHaradinaj_BQK_Garibaldi
Santea_Katedralja_PTK
ErnestKoliqi_Eulexi_ArbenorEAstritDehari ImzotNikeprela_PTK_Katedralja PTK_Katedralja_Menza Katedralja_Santea_RobertDoll UkshinHoti_BQK_Garibaldi
