Path
RobertDoll_Santea_BillClinton Santea_BillClinton_Lakrishte
Tuneli_BillClinton_ShtjefenGjeqovi
Zagrebi_Tjegullorja_Vushtrria
BibajSport_RrugaB_MaxiMarket
Tirana_Lulishtja_UCK
FehmiAgani_Lulishtja_KolegjiRiinvest
XhamiaLlapit_XhamiaLlapitTregu_LidhjaPrizrenit LuanHaradinaj_BQK_Garibaldi
Grandi_BQK_UkshinHoti ShtjefenGjeqovi_BillClinton_Lakrishte
FehmiLladrovci_Teknik_Qerimi
Santea_Katedralja_Menza
Parlamenti_MAShTI_Menza MAShTI_Menza_Teknik Menza_Teknik_RrugaB Teknik_RrugaB_BibajSport
Menza_Qerimi_EnverMaloku
Tuneli_BillClinton_ShtjefenGjeqovi
KolegjiRiinvest_Lulishtja_Tirana
FehmiLladrovci_Teknik_RrugaB
Tuneli_BillClinton_ShtjefenGjeqovi
FehmiAgani_Lulishtja_Tirana
XhamiaLlapitTregu_Parlamenti_MAShTI Parlamenti_MAShTI_Menza Menza_Teknik_FehmiLladrovci
Qerimi_Menza_MAShTI Menza_MAShTI_Parlamenti
ErnestKoliqi_Eulexi_ArbenorEAstritDehari BibajSport_RrugaB_MaxiMarket
EnverMaloku_Qerimi_Teknik Qerimi_Teknik_Menza
BibajSport_RrugaB_MaxiMarket
BibajSport_RrugaB_MaxiMarket
KarlGega_MAShTI_Parlamenti
EnverMaloku_Qerimi_Menza Qerimi_Menza_MAShTI Menza_MAShTI_Parlamenti MAShTI_Parlamenti_XhamiaLlapitTregu
Vushtrria_Tjegullorja_Zagrebi
MaxiMarket_RrugaB_Teknik
Santea_Katedralja_Menza Katedralja_Menza_Teknik
Menza_Katedralja_Santea Katedralja_Santea_BillClinton Santea_BillClinton_Lakrishte
XhamiaLlapit_XhamiaLlapitTregu_LidhjaPrizrenit
Makovc_XhamiaLlapit_XhamiaLlapitTregu
XhamiaLlapitTregu_Parlamenti_MAShTI Parlamenti_MAShTI_Menza
Menza_Teknik_FehmiLladrovci
Garibaldi_BQK_UkshinHoti
Grandi_BQK_UkshinHoti
ImzotNikeprela_PTK_Katedralja PTK_Katedralja_Menza Katedralja_Santea_RobertDoll
RobertDoll_Santea_BillClinton Santea_Katedralja_Menza Katedralja_Menza_MAShTI Menza_Qerimi_EnverMaloku
MAShTI_Parlamenti_XhamiaLlapitTregu UCK_Lulishtja_Tirana
FehmiLladrovci_Teknik_Qerimi Teknik_Menza_Qerimi Menza_MAShTI_Parlamenti
Santea_BillClinton_Lakrishte
XhamiaLlapitTregu_Parlamenti_MAShTI
Parlamenti_MAShTI_Menza
IbrahimLutfiu_Parlamenti_MAShTI Parlamenti_MAShTI_Menza MAShTI_Menza_MAShTI Menza_Teknik_FehmiLladrovci
Bardhosh_Vranjefc_AzizZhilivoda
MAShTI_Parlamenti_IbrahimLutfiu
ShtjefenGjeqovi_BillClinton_Lakrishte
Katedralja_Santea_BillClinton Santea_BillClinton_Tuneli
FehmiLladrovci_Teknik_Menza Menza_MAShTI_Parlamenti
XhamiaLlapit_XhamiaLlapitTregu_LidhjaPrizrenit
Menza_Qerimi_EnverMaloku
MaxiMarket_RrugaB_Teknik RrugaB_Teknik_Qerimi
Garibaldi_BQK_Grandi
Plava_Tjegullorja_Vushtrria
Parlamenti_MAShTI_Menza Katedralja_Santea_BillClinton Santea_BillClinton_Lakrishte
Katedralja_Santea_RobertDoll
Cacttus_KomunaRe_HotelAdria Tirana_Lulishtja_FehmiAgani
KolegjiRiinvest_Lulishtja_Tirana
